method	mult	rmse	A	B	T
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	3	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	3	0.1015965585636401	0.93135132767501294	0.55557650041004003	0.3382183629050089
mle_a_t	3	-1.0	-1.0	-1.0	-1.0
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	3	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	3	0.0520263467760595	0.91660028935381488	0.52036773807543946	0.27657848195146606
mle_a_t	3	-1.0	-1.0	-1.0	-1.0
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	3	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	3	0.09776491607073368	0.89985999034401554	0.47360211705216437	0.26286595196690193
mle_a_t	3	-1.0	-1.0	-1.0	-1.0
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	3	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	3	0.04991631150051957	0.91305486394504864	0.51353032126791431	0.26200517284508451
mle_a_t	3	-1.0	-1.0	-1.0	-1.0
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	3	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	3	0.12288681761835044	0.91066447187574373	0.51531732421610998	0.34489638347160623
mle_a_t	3	-1.0	-1.0	-1.0	-1.0
huk	3	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.08610662029423555	0.90758369546029538	0.45355448001583648	0.23093969791619046
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.07110434090318617	0.89853746819914249	0.45157836799205836	0.20743588343131275
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.05215781126599555	0.89207578388321063	0.47742783470851308	0.20635079418823796
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.03080695101578124	0.9134796142627567	0.50292340729601392	0.26629885474648052
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.03638921063785736	0.90222716584878004	0.52036813510750601	0.28222999621429201
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.09314527878424105	0.93440460303143891	0.48717363278762282	0.29546741152511286
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.06052571087771605	0.90918736075269291	0.47010206940707572	0.23040556685565763
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.062397826813902706	0.91687894393600866	0.51746659037293696	0.26679242978355733
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.04219341164679374	0.90351535872961242	0.47785967827185133	0.24114126912839681
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	4	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	4	0.04149955696421681	0.9023636288533734	0.49293660222211211	0.26329046389098576
mle_a_t	4	-1.0	-1.0	-1.0	-1.0
huk	4	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.032813013432608874	0.90959485063951373	0.49745235277691274	0.25045599997081702
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.06060781059009024	0.88757655473591202	0.45521728888655333	0.19870971894661357
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.14112887955667905	0.87864259703725578	0.44286463363473355	0.15140377123893622
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.028979169044393047	0.90565084624443015	0.51934529003482166	0.27587537658118266
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.03699075523073801	0.90819831169430176	0.52236458982563505	0.29185401181066511
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.03484349373341	0.90461573038655507	0.50617728471280365	0.24738414109175422
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.008922738423010055	0.90013320471970881	0.49452959320465362	0.24574831359341406
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.030288487280884957	0.90426025630375573	0.50546357226937777	0.27398312599624769
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.07140484399601561	0.90049853028712423	0.54103531545262695	0.305269689100157
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	5	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	5	0.09442119532962387	0.91564231070729718	0.55060499973531041	0.36424349832757646
mle_a_t	5	-1.0	-1.0	-1.0	-1.0
huk	5	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.05794495722528998	0.90413116022100193	0.52751399621816653	0.30469607890922185
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.054062981416165494	0.89188192665877164	0.48215752675710755	0.20743719904557059
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.03779204469866396	0.90985100813382225	0.48785043606041573	0.25594480661656432
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.057857157669816466	0.90986070564873867	0.53624020434058728	0.311783546669614
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.047064012872010244	0.91900464618031563	0.49787368239257401	0.2789690760886317
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.02275633721497777	0.89814191027719226	0.50892187784046128	0.2492172922735173
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.12095953546084176	0.89566678974044045	0.41373498940050901	0.17499926406576974
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.041525433044658555	0.89605870840237412	0.4709923360785232	0.22253189889887598
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.05980091154273904	0.89302083506619234	0.48495221260048393	0.20772396561299336
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	6	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	6	0.10780918079810478	0.89499674484281422	0.55654435507884537	0.28393021245826722
mle_a_t	6	-1.0	-1.0	-1.0	-1.0
huk	6	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.007829450971217851	0.89771135935204072	0.50174055670817519	0.2501934548381532
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	7	0.035586930286912975	0.91173390805891197	0.49741414990359767	0.27180287835009254
mle_a_t	7	-1.0	-1.0	-1.0	-1.0
huk	7	-1.0	-1.0	-1.0	-1.0
mle_t	7	-1.0	-1.0	-1.0	-1.0
