di,dotmode,y,x,dur,subj,ntrials
1,3d,0.2857142857142857,0.0,0.03333333333333333,ALL,14.0
1,3d,0.25,0.015,0.03333333333333333,ALL,12.0
1,3d,0.5335365853658537,0.03,0.03333333333333333,ALL,328.0
1,3d,0.4603658536585366,0.06,0.03333333333333333,ALL,328.0
1,3d,0.49390243902439024,0.12,0.03333333333333333,ALL,328.0
1,3d,0.4969512195121951,0.25,0.03333333333333333,ALL,328.0
1,3d,0.515625,0.5,0.03333333333333333,ALL,256.0
1,3d,0.5474137931034483,1.0,0.03333333333333333,ALL,232.0
2,3d,0.375,0.0,0.05,ALL,16.0
2,3d,0.3888888888888889,0.015,0.05,ALL,18.0
2,3d,0.5209424083769634,0.03,0.05,ALL,382.0
2,3d,0.5523560209424084,0.06,0.05,ALL,382.0
2,3d,0.5585106382978723,0.12,0.05,ALL,376.0
2,3d,0.49096385542168675,0.25,0.05,ALL,332.0
2,3d,0.5841584158415841,0.5,0.05,ALL,404.0
2,3d,0.5824468085106383,1.0,0.05,ALL,376.0
3,3d,0.46153846153846156,0.0,0.06666666666666667,ALL,26.0
3,3d,0.75,0.015,0.06666666666666667,ALL,12.0
3,3d,0.4970588235294118,0.03,0.06666666666666667,ALL,340.0
3,3d,0.5177514792899408,0.06,0.06666666666666667,ALL,338.0
3,3d,0.5297619047619048,0.12,0.06666666666666667,ALL,336.0
3,3d,0.5301204819277109,0.25,0.06666666666666667,ALL,332.0
3,3d,0.6328125,0.5,0.06666666666666667,ALL,256.0
3,3d,0.6724137931034483,1.0,0.06666666666666667,ALL,232.0
4,3d,0.525,0.0,0.08333333333333333,ALL,40.0
4,3d,0.4444444444444444,0.015,0.08333333333333333,ALL,9.0
4,3d,0.55,0.03,0.08333333333333333,ALL,260.0
4,3d,0.538135593220339,0.06,0.08333333333333333,ALL,236.0
4,3d,0.5532786885245902,0.12,0.08333333333333333,ALL,244.0
4,3d,0.6284722222222222,0.25,0.08333333333333333,ALL,288.0
4,3d,0.7078651685393258,0.5,0.08333333333333333,ALL,356.0
4,3d,0.7758620689655172,1.0,0.08333333333333333,ALL,232.0
5,3d,0.5277777777777778,0.0,0.1,ALL,36.0
5,3d,0.4444444444444444,0.015,0.1,ALL,9.0
5,3d,0.4728682170542636,0.03,0.1,ALL,258.0
5,3d,0.48398576512455516,0.06,0.1,ALL,281.0
5,3d,0.5645161290322581,0.12,0.1,ALL,248.0
5,3d,0.6354166666666666,0.25,0.1,ALL,192.0
5,3d,0.75,0.5,0.1,ALL,160.0
5,3d,0.851063829787234,1.0,0.1,ALL,188.0
6,3d,0.6,0.0,0.11666666666666667,ALL,60.0
6,3d,0.4166666666666667,0.015,0.11666666666666667,ALL,12.0
6,3d,0.5294117647058824,0.03,0.11666666666666667,ALL,374.0
6,3d,0.5978552278820375,0.06,0.11666666666666667,ALL,373.0
6,3d,0.6212871287128713,0.12,0.11666666666666667,ALL,404.0
6,3d,0.6770334928229665,0.25,0.11666666666666667,ALL,418.0
6,3d,0.8074866310160428,0.5,0.11666666666666667,ALL,374.0
6,3d,0.8881578947368421,1.0,0.11666666666666667,ALL,304.0
7,3d,0.5147058823529411,0.0,0.15,ALL,68.0
7,3d,0.3888888888888889,0.015,0.15,ALL,18.0
7,3d,0.5586854460093896,0.03,0.15,ALL,426.0
7,3d,0.6119791666666666,0.06,0.15,ALL,384.0
7,3d,0.6223958333333334,0.12,0.15,ALL,384.0
7,3d,0.7393364928909952,0.25,0.15,ALL,422.0
7,3d,0.8458498023715415,0.5,0.15,ALL,506.0
7,3d,0.9140625,1.0,0.15,ALL,384.0
8,3d,0.46153846153846156,0.0,0.2,ALL,52.0
8,3d,0.3333333333333333,0.015,0.2,ALL,12.0
8,3d,0.4783783783783784,0.03,0.2,ALL,370.0
8,3d,0.6174863387978142,0.06,0.2,ALL,366.0
8,3d,0.6785714285714286,0.12,0.2,ALL,364.0
8,3d,0.7620481927710844,0.25,0.2,ALL,332.0
8,3d,0.8885135135135135,0.5,0.2,ALL,296.0
8,3d,0.9589552238805971,1.0,0.2,ALL,268.0
9,3d,0.5370370370370371,0.0,0.25,ALL,54.0
9,3d,0.6428571428571429,0.015,0.25,ALL,14.0
9,3d,0.5774278215223098,0.03,0.25,ALL,381.0
9,3d,0.6206030150753769,0.06,0.25,ALL,398.0
9,3d,0.6891891891891891,0.12,0.25,ALL,296.0
9,3d,0.8244047619047619,0.25,0.25,ALL,336.0
