di,dotmode,y,x,dur,subj,ntrials
1,3d,0.3333333333333333,0.0,0.03333333333333333,ALL,30.0
1,3d,0.3333333333333333,0.015,0.03333333333333333,ALL,30.0
1,3d,0.5267605633802817,0.03,0.03333333333333333,ALL,710.0
1,3d,0.5098591549295775,0.06,0.03333333333333333,ALL,710.0
1,3d,0.5284090909090909,0.12,0.03333333333333333,ALL,704.0
1,3d,0.49393939393939396,0.25,0.03333333333333333,ALL,660.0
1,3d,0.5575757575757576,0.5,0.03333333333333333,ALL,660.0
1,3d,0.569078947368421,1.0,0.03333333333333333,ALL,608.0
2,3d,0.5,0.0,0.06666666666666667,ALL,66.0
2,3d,0.6190476190476191,0.015,0.06666666666666667,ALL,21.0
2,3d,0.52,0.03,0.06666666666666667,ALL,600.0
2,3d,0.5261324041811847,0.06,0.06666666666666667,ALL,574.0
2,3d,0.5396551724137931,0.12,0.06666666666666667,ALL,580.0
2,3d,0.5758064516129032,0.25,0.06666666666666667,ALL,620.0
2,3d,0.6764705882352942,0.5,0.06666666666666667,ALL,612.0
2,3d,0.7241379310344828,1.0,0.06666666666666667,ALL,464.0
3,3d,0.5833333333333334,0.0,0.1,ALL,120.0
3,3d,0.4444444444444444,0.015,0.1,ALL,27.0
3,3d,0.5153846153846153,0.03,0.1,ALL,780.0
3,3d,0.5595533498759305,0.06,0.1,ALL,806.0
3,3d,0.5941845764854614,0.12,0.1,ALL,791.0
3,3d,0.6775456919060052,0.25,0.1,ALL,766.0
3,3d,0.803072625698324,0.5,0.1,ALL,716.0
3,3d,0.8766447368421053,1.0,0.1,ALL,608.0
4,3d,0.45535714285714285,0.0,0.16666666666666666,ALL,112.0
4,3d,0.3333333333333333,0.015,0.16666666666666666,ALL,24.0
4,3d,0.5162162162162162,0.03,0.16666666666666666,ALL,740.0
4,3d,0.6127717391304348,0.06,0.16666666666666666,ALL,736.0
4,3d,0.6696296296296296,0.12,0.16666666666666666,ALL,675.0
4,3d,0.7604017216642754,0.25,0.16666666666666666,ALL,697.0
4,3d,0.8684931506849315,0.5,0.16666666666666666,ALL,730.0
4,3d,0.9490131578947368,1.0,0.16666666666666666,ALL,608.0
5,3d,0.525,0.0,0.26666666666666666,ALL,120.0
5,3d,0.5588235294117647,0.015,0.26666666666666666,ALL,34.0
5,3d,0.5544794188861986,0.03,0.26666666666666666,ALL,826.0
5,3d,0.6234718826405868,0.06,0.26666666666666666,ALL,818.0
5,3d,0.6885856079404467,0.12,0.26666666666666666,ALL,806.0
5,3d,0.8479685452162516,0.25,0.26666666666666666,ALL,763.0
5,3d,0.926923076923077,0.5,0.26666666666666666,ALL,780.0
5,3d,0.9601226993865031,1.0,0.26666666666666666,ALL,652.0
6,3d,0.4918032786885246,0.0,0.45,ALL,122.0
6,3d,0.5,0.015,0.45,ALL,28.0
6,3d,0.5466321243523317,0.03,0.45,ALL,772.0
6,3d,0.6492346938775511,0.06,0.45,ALL,784.0
6,3d,0.6979166666666666,0.12,0.45,ALL,864.0
6,3d,0.8325991189427313,0.25,0.45,ALL,908.0
6,3d,0.9552058111380145,0.5,0.45,ALL,826.0
6,3d,0.9805389221556886,1.0,0.45,ALL,668.0
7,3d,0.576271186440678,0.0,0.7666666666666667,ALL,118.0
7,3d,0.5625,0.015,0.7666666666666667,ALL,32.0
7,3d,0.5770308123249299,0.03,0.7666666666666667,ALL,714.0
7,3d,0.6070422535211267,0.06,0.7666666666666667,ALL,710.0
7,3d,0.7259887005649718,0.12,0.7666666666666667,ALL,708.0
7,3d,0.8789173789173789,0.25,0.7666666666666667,ALL,702.0
7,3d,0.9444444444444444,0.5,0.7666666666666667,ALL,792.0
7,3d,0.990625,1.0,0.7666666666666667,ALL,640.0
8,3d,0.59375,0.0,1.2666666666666666,ALL,32.0
8,3d,0.6666666666666666,0.015,1.2666666666666666,ALL,12.0
8,3d,0.5408163265306123,0.03,1.2666666666666666,ALL,98.0
8,3d,0.7,0.06,1.2666666666666666,ALL,100.0
8,3d,0.76,0.12,1.2666666666666666,ALL,100.0
8,3d,0.8653846153846154,0.25,1.2666666666666666,ALL,104.0
8,3d,0.9615384615384616,0.5,1.2666666666666666,ALL,104.0
8,3d,1.0,1.0,1.2666666666666666,ALL,48.0
9,3d,0.6,0.015,2.1333333333333333,ALL,20.0
9,3d,0.59,0.03,2.1333333333333333,ALL,100.0
9,3d,0.59,0.06,2.1333333333333333,ALL,100.0
9,3d,0.71,0.12,2.1333333333333333,ALL,100.0
9,3d,0.9,0.25,2.1333333333333333,ALL,100.0
9,3d,0.97,0.5,2.1333333333333333,ALL,100.0
9,3d,0.9625,1.0,2.1333333333333333,ALL,80.0
10,3d,0.625,0.015,3.566666666666667,ALL,32.0
10,3d,0.61875,0.03,3.566666666666667,ALL,160.0
10,3d,0.5987654320987654,0.06,3.566666666666667,ALL,162.0
10,3d,0.7267441860465116,0.12,3.566666666666667,ALL,172.0
10,3d,0.8611111111111112,0.25,3.566666666666667,ALL,180.0
10,3d,0.9444444444444444,0.5,3.566666666666667,ALL,180.0
10,3d,0.9791666666666666,1.0,3.566666666666667,ALL,144.0
