index,session_index,trial_index,coherence,duration,duration_index,direction,response,correct
2111,9,82.0,0.5,4.783682008368201,8.0,0.0,2.0,True
2112,9,108.0,0.5,4.8075313807531375,8.0,3.1415926535897931,1.0,True
2113,9,73.0,0.5,5.0698744769874473,9.0,0.0,2.0,True
2114,9,37.0,0.5,5.0937238493723846,9.0,3.1415926535897931,1.0,True
2115,9,5.0,0.5,5.3560669456066945,9.0,0.0,2.0,True
2116,9,236.0,0.5,5.3799163179916318,9.0,3.1415926535897931,1.0,True
2117,9,103.0,0.5,5.6422594142259408,10.0,0.0,2.0,True
2118,9,58.0,0.5,5.6661087866108781,10.0,3.1415926535897931,1.0,True
2119,9,81.0,0.5,5.928451882845188,10.0,0.0,2.0,True
2120,9,112.0,0.5,5.9523012552301253,10.0,3.1415926535897931,1.0,True
2121,9,159.0,1.0,0.53849372384937233,1.0,0.0,2.0,True
2122,9,94.0,1.0,0.56234309623430967,1.0,3.1415926535897931,1.0,True
2123,9,79.0,1.0,0.82468619246861929,1.0,0.0,2.0,True
2124,9,228.0,1.0,0.84853556485355641,1.0,3.1415926535897931,1.0,True
2125,9,167.0,1.0,1.110878661087866,2.0,0.0,2.0,True
2126,9,135.0,1.0,1.1347280334728034,2.0,3.1415926535897931,1.0,True
2127,9,149.0,1.0,1.397071129707113,2.0,0.0,2.0,True
2128,9,14.0,1.0,1.4209205020920503,2.0,3.1415926535897931,1.0,True
2129,9,121.0,1.0,1.68326359832636,3.0,0.0,2.0,True
2130,9,234.0,1.0,1.7071129707112971,3.0,3.1415926535897931,1.0,True
2131,9,55.0,1.0,1.9694560669456067,3.0,0.0,2.0,True
2132,9,233.0,1.0,1.9933054393305438,3.0,3.1415926535897931,1.0,True
2133,9,169.0,1.0,2.2556485355648537,4.0,0.0,2.0,True
2134,9,173.0,1.0,2.279497907949791,4.0,3.1415926535897931,1.0,True
2135,9,170.0,1.0,2.5418410041841004,4.0,0.0,2.0,True
2136,9,125.0,1.0,2.5656903765690373,4.0,3.1415926535897931,1.0,True
2137,9,76.0,1.0,2.8280334728033472,5.0,0.0,2.0,True
2138,9,213.0,1.0,2.8518828451882841,5.0,3.1415926535897931,1.0,True
2139,9,133.0,1.0,3.1142259414225939,5.0,0.0,2.0,True
2140,9,106.0,1.0,3.1380753138075317,5.0,3.1415926535897931,1.0,True
2141,9,98.0,1.0,3.4004184100418406,6.0,0.0,2.0,True
2142,9,157.0,1.0,3.4242677824267784,6.0,3.1415926535897931,1.0,True
2143,9,179.0,1.0,3.6866108786610874,6.0,0.0,2.0,True
2144,9,199.0,1.0,3.7104602510460252,6.0,3.1415926535897931,1.0,True
2145,9,25.0,1.0,3.972803347280335,7.0,0.0,2.0,True
2146,9,78.0,1.0,3.9966527196652719,7.0,3.1415926535897931,1.0,True
2147,9,162.0,1.0,4.2589958158995822,7.0,0.0,2.0,True
2148,9,89.0,1.0,4.2828451882845187,7.0,3.1415926535897931,1.0,True
2149,9,2.0,1.0,4.5451882845188285,8.0,0.0,2.0,True
2150,9,220.0,1.0,4.5690376569037658,8.0,3.1415926535897931,1.0,True
2151,9,120.0,1.0,4.8313807531380748,8.0,0.0,2.0,True
2152,9,137.0,1.0,4.8552301255230121,8.0,3.1415926535897931,1.0,True
2153,9,208.0,1.0,5.117573221757322,9.0,0.0,2.0,True
2154,9,225.0,1.0,5.1414225941422602,9.0,3.1415926535897931,1.0,True
2155,9,184.0,1.0,5.4037656903765683,9.0,0.0,2.0,True
2156,9,231.0,1.0,5.4276150627615065,9.0,3.1415926535897931,1.0,True
2157,9,28.0,1.0,5.6899581589958155,10.0,0.0,2.0,True
2158,9,70.0,1.0,5.7138075313807537,10.0,3.1415926535897931,1.0,True
2159,9,180.0,1.0,5.9761506276150635,10.0,0.0,2.0,True
2160,9,156.0,1.0,6.0,10.0,3.1415926535897931,1.0,True
2161,10,169.0,0.029999999999999999,0.29999999999999999,1.0,1.5707963267948966,1.0,False
2162,10,86.0,0.029999999999999999,0.32384937238493722,1.0,4.7123889803846897,2.0,False
2163,10,83.0,0.029999999999999999,0.5861924686192469,1.0,1.5707963267948966,2.0,True
2164,10,231.0,0.029999999999999999,0.61004184100418413,1.0,4.7123889803846897,1.0,True
2165,10,213.0,0.029999999999999999,0.87238493723849375,2.0,1.5707963267948966,2.0,True
2166,10,106.0,0.029999999999999999,0.89623430962343087,2.0,4.7123889803846897,1.0,True
2167,10,87.0,0.029999999999999999,1.1585774058577407,2.0,1.5707963267948966,2.0,True
2168,10,81.0,0.029999999999999999,1.1824267782426778,2.0,4.7123889803846897,1.0,True
2169,10,1.0,0.029999999999999999,1.4447698744769877,3.0,1.5707963267948966,2.0,True
2170,10,98.0,0.029999999999999999,1.4686192468619248,3.0,4.7123889803846897,2.0,False
2171,10,215.0,0.029999999999999999,1.7309623430962344,3.0,1.5707963267948966,1.0,False
2172,10,217.0,0.029999999999999999,1.7548117154811715,3.0,4.7123889803846897,1.0,True
2173,10,184.0,0.029999999999999999,2.0171548117154812,4.0,1.5707963267948966,1.0,False
2174,10,150.0,0.029999999999999999,2.0410041841004185,4.0,4.7123889803846897,2.0,False
2175,10,58.0,0.029999999999999999,2.3033472803347279,4.0,1.5707963267948966,2.0,True
2176,10,47.0,0.029999999999999999,2.3271966527196652,4.0,4.7123889803846897,1.0,True
2177,10,12.0,0.029999999999999999,2.5895397489539751,5.0,1.5707963267948966,2.0,True
2178,10,136.0,0.029999999999999999,2.613389121338912,5.0,4.7123889803846897,1.0,True
2179,10,212.0,0.029999999999999999,2.8757322175732218,5.0,1.5707963267948966,1.0,False
2180,10,122.0,0.029999999999999999,2.8995815899581592,5.0,4.7123889803846897,1.0,True
2181,10,75.0,0.029999999999999999,3.1619246861924686,6.0,1.5707963267948966,1.0,False
2182,10,5.0,0.029999999999999999,3.1857740585774059,6.0,4.7123889803846897,2.0,False
2183,10,91.0,0.029999999999999999,3.4481171548117153,6.0,1.5707963267948966,1.0,False
2184,10,54.0,0.029999999999999999,3.4719665271966527,6.0,4.7123889803846897,1.0,True
2185,10,102.0,0.029999999999999999,3.7343096234309625,7.0,1.5707963267948966,1.0,False
2186,10,57.0,0.029999999999999999,3.7581589958158994,7.0,4.7123889803846897,1.0,True
2187,10,158.0,0.029999999999999999,4.0205020920502097,7.0,1.5707963267948966,2.0,True
