index,subj,dotmode,number
1,huk,2d,1
2,huk,2d,2
3,huk,3d,1
4,huk,3d,2
5,klb,2d,1
6,klb,2d,2
7,klb,3d,1
8,klb,3d,2
9,krm,2d,1
10,krm,2d,2
11,krm,3d,1
12,lkc,2d,1
13,lkc,3d,1
14,lnk,2d,2
15,lnk,2d,3
16,lnk,3d,1
17,lnk,3d,2
