index,subj,dotmode,number
1,klb,2d,1
2,klb,2d,2
3,klb,3d,1
4,klb,3d,2
5,krm,2d,1
6,lkc,2d,1
7,lkc,3d,1
8,lnk,2d,2
9,lnk,2d,3
10,lnk,3d,1
11,lnk,3d,2
