lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.044172497742715845,1.6206175488985162,0.3953112944755812,1.6974749462184358,2d,0.03333333333333333,1,ALL,0
0.1720108058570931,0.40571601542816244,0.13190143568238272,0.5593667629140747,2d,0.05,2,ALL,0
0.035485033025461916,0.2579175955461669,0.11289096614819674,0.2751991033488881,2d,0.06666666666666667,3,ALL,0
0.029521525386937177,0.1695061727390786,0.09714072366630006,0.1817129585030672,2d,0.08333333333333333,4,ALL,0
0.011828404831320293,0.1507705122865473,0.07704966680549771,0.15450507233487337,2d,0.11666666666666667,5,ALL,0
0.018617242815493543,0.10329029571012079,0.060332153269471056,0.1079592575257569,2d,0.15,6,ALL,0
0.013205127898745067,0.0898167477522038,0.043826708773178125,0.09219507729721853,2d,0.2,7,ALL,0
0.009434282528194459,0.09245930515063167,0.05217139704521261,0.0944662142160482,2d,0.26666666666666666,8,ALL,0
0.005066625623362114,0.08112408701567007,0.050350052452555215,0.0821549885105922,2d,0.35,9,ALL,0
0.003533963834737975,0.0735788896726131,0.04966415927411082,0.07428594431244402,2d,0.45,10,ALL,0
0.005996809451969568,0.06906166484450918,0.04112791545189508,0.07006023486480195,2d,0.6,11,ALL,0
0.011995339240125079,0.05537695048527655,0.03639853717917439,0.0571666906308342,2d,0.8,12,ALL,0
0.010527915117514384,0.049262085316095314,0.04031698067756064,0.05099668565768015,2d,1.0666666666666667,13,ALL,0
0.019363860798895696,0.06852071185617102,0.026458959699951448,0.07065382271406011,2d,1.4166666666666667,14,ALL,0
0.004243911567424128,0.04702840287900879,0.02526091016763849,0.04746090462819553,2d,1.9166666666666667,15,ALL,0
0.010058309037900864,0.06679391399416909,0.029293002915451893,0.06799683052508015,2d,2.533333333333333,16,ALL,0
0.012368534569671609,0.038327740322319406,0.00873358371126226,0.038770881564020726,2d,3.3666666666666667,17,ALL,0
0.0016311384387085637,0.03604351255010939,0.03473908983236153,0.03627091225926706,2d,4.516666666666667,18,ALL,0
