lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.044172497742715845,1.6206175488985162,0.3953112944755812,1.6974749462184358,2d,0.03333333333333333,1,ALL,0
0.1720108058570931,0.40571601542816244,0.13190143568238272,0.5593667629140747,2d,0.05,2,ALL,0
0.05940003229257922,0.18777581830985945,0.0816182291758539,0.20991754583450778,2d,0.06666666666666667,3,ALL,0
0.007539984628156542,0.1595862834929891,0.0951517596834652,0.16250022108135326,2d,0.1,4,ALL,0
0.021196223708886422,0.12677877273358318,0.06617815493544354,0.1326419027214113,2d,0.13333333333333333,5,ALL,0
0.013728690434412263,0.08659406482536852,0.05178581392048352,0.08951893569161966,2d,0.18333333333333332,6,ALL,0
0.008433217534948105,0.09459194376535328,0.051536477840869656,0.09636041547981117,2d,0.25,7,ALL,0
0.004168427252345825,0.08548955296404276,0.05070081566852932,0.08634205067727857,2d,0.3333333333333333,8,ALL,0
0.005704074911978289,0.07296998914202568,0.04500293201232439,0.07400868470066752,2d,0.45,9,ALL,0
0.004957623705718068,0.06732621271394287,0.04649695678382071,0.0682575354971175,2d,0.6333333333333333,10,ALL,0
0.013686077839523893,0.05160873505780911,0.03476117974195856,0.05356578315402881,2d,0.8666666666666667,11,ALL,0
0.008081601204870087,0.06077822994277074,0.04397470744250086,0.062223258337832744,2d,1.1833333333333333,12,ALL,0
0.004153950652525872,0.03499660615256841,0.022152284825612045,0.035367776401633,2d,1.65,13,ALL,0
0.0028790585478893904,0.0762677567352974,0.030989697929831785,0.0766267122522591,2d,2.2666666666666666,14,ALL,0
0.007494532342128537,0.04110911519802414,0.01140035102638067,0.041456103814030754,2d,3.1333333333333333,15,ALL,0
0.0016291685707117431,0.03560882835276974,0.036524993926141905,0.035847628781536515,2d,4.35,16,ALL,0
