lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.044172497742715845,1.6206175488985162,0.3953112944755812,1.6974749462184358,2d,0.03333333333333333,1,ALL,0
0.1720108058570931,0.40571601542816244,0.13190143568238272,0.5593667629140747,2d,0.05,2,ALL,0
0.035485033025461916,0.2579175955461669,0.11289096614819674,0.2751991033488881,2d,0.06666666666666667,3,ALL,0
0.05507352255515871,0.1552575410744657,0.07309067906860711,0.17344531376229233,2d,0.08333333333333333,4,ALL,0
0.007539984628156542,0.1595862834929891,0.0951517596834652,0.16250022108135326,2d,0.1,5,ALL,0
0.021196223708886422,0.12677877273358318,0.06617815493544354,0.1326419027214113,2d,0.13333333333333333,6,ALL,0
0.01283358596379583,0.09070369807021579,0.05279130248186198,0.09348573922290697,2d,0.18333333333333332,7,ALL,0
0.020086799485546182,0.08266804452651985,0.03832003415084462,0.08587769492007938,2d,0.23333333333333334,8,ALL,0
0.002322853597424065,0.08862548440216511,0.05574890146258149,0.089145891970018,2d,0.3,9,ALL,0
0.004653174363101209,0.0828834140729394,0.04495619154455289,0.08372805520358215,2d,0.4,10,ALL,0
0.010911675599338772,0.0668852523954705,0.036924193065070485,0.06853310070641014,2d,0.5166666666666667,11,ALL,0
0.0050790761868681755,0.06243764599989609,0.0501822161901337,0.06346766204994088,2d,0.6833333333333333,12,ALL,0
0.016763848396501475,0.05193148688046645,0.030583318148688095,0.05405425821430736,2d,0.9,13,ALL,0
0.004723832470134323,0.058083741122452626,0.04365091567291274,0.05891643156575563,2d,1.1666666666666667,14,ALL,0
0.02672121954503011,0.05223343210618864,0.014483078689995368,0.053870596288590054,2d,1.5333333333333334,15,ALL,0
0.0051472341138105735,0.04985774518140594,0.02373276542759962,0.05035147791990225,2d,2.0166666666666666,16,ALL,0
0.008472132496265985,0.06585204163376171,0.0305005199035704,0.06690357932810737,2d,2.65,17,ALL,0
0.01240182261161602,0.03906935207118563,0.00838172173631355,0.0394958140842559,2d,3.466666666666667,18,ALL,0
0.0017266029088086358,0.036010903932147,0.03473304260421967,0.0362516168129589,2d,4.566666666666666,19,ALL,0
