lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.044172497742715845,1.6206175488985162,0.3953112944755812,1.6974749462184358,2d,0.03333333333333333,1,ALL,0
0.1338295726346399,0.30310287380258233,0.12149295432458697,0.3962153903100272,2d,0.05,2,ALL,0
0.029521525386937177,0.1695061727390786,0.09714072366630006,0.1817129585030672,2d,0.08333333333333333,3,ALL,0
0.011828404831320293,0.1507705122865473,0.07704966680549771,0.15450507233487337,2d,0.11666666666666667,4,ALL,0
0.017896799688967936,0.1000537970290157,0.059662655027997606,0.10448546841442027,2d,0.15,5,ALL,0
0.015494182684676448,0.08474930150631681,0.04041048525064789,0.08733478548607608,2d,0.21666666666666667,6,ALL,0
0.005017100941369547,0.08803958704665543,0.05189432848285622,0.08909161531456382,2d,0.31666666666666665,7,ALL,0
0.007120929284190616,0.07152837802526628,0.0437828104582409,0.07279358083455789,2d,0.45,8,ALL,0
0.0053439997479986226,0.06406878832276434,0.04231342947482451,0.06498308736798877,2d,0.65,9,ALL,0
0.013678203122598542,0.05160242581914129,0.03750880597387149,0.05371291488283297,2d,0.95,10,ALL,0
0.009222616795279663,0.0607967889536767,0.0409151954432567,0.062334714737460696,2d,1.3666666666666667,11,ALL,0
0.0029081221545072663,0.05163013494088117,0.03359042414088653,0.052023165587510065,2d,1.9833333333333334,12,ALL,0
0.009808744532129479,0.044802009624534386,0.017739655882194158,0.04551204669706722,2d,2.8666666666666667,13,ALL,0
0.001320584072128981,0.04065192217086797,0.034401934958170476,0.040834126417138,2d,4.133333333333334,14,ALL,0
