di,dotmode,y,x,dur,subj,ntrials
1,3d,0.2857142857142857,0.0,0.03333333333333333,ALL,14.0
1,3d,0.25,0.015,0.03333333333333333,ALL,12.0
1,3d,0.5335365853658537,0.03,0.03333333333333333,ALL,328.0
1,3d,0.4603658536585366,0.06,0.03333333333333333,ALL,328.0
1,3d,0.49390243902439024,0.12,0.03333333333333333,ALL,328.0
1,3d,0.4969512195121951,0.25,0.03333333333333333,ALL,328.0
1,3d,0.515625,0.5,0.03333333333333333,ALL,256.0
1,3d,0.5474137931034483,1.0,0.03333333333333333,ALL,232.0
2,3d,0.375,0.0,0.05,ALL,16.0
2,3d,0.3888888888888889,0.015,0.05,ALL,18.0
2,3d,0.5209424083769634,0.03,0.05,ALL,382.0
2,3d,0.5523560209424084,0.06,0.05,ALL,382.0
2,3d,0.5585106382978723,0.12,0.05,ALL,376.0
2,3d,0.49096385542168675,0.25,0.05,ALL,332.0
2,3d,0.5841584158415841,0.5,0.05,ALL,404.0
2,3d,0.5824468085106383,1.0,0.05,ALL,376.0
3,3d,0.46153846153846156,0.0,0.06666666666666667,ALL,26.0
3,3d,0.75,0.015,0.06666666666666667,ALL,12.0
3,3d,0.4970588235294118,0.03,0.06666666666666667,ALL,340.0
3,3d,0.5177514792899408,0.06,0.06666666666666667,ALL,338.0
3,3d,0.5297619047619048,0.12,0.06666666666666667,ALL,336.0
3,3d,0.5301204819277109,0.25,0.06666666666666667,ALL,332.0
3,3d,0.6328125,0.5,0.06666666666666667,ALL,256.0
3,3d,0.6724137931034483,1.0,0.06666666666666667,ALL,232.0
4,3d,0.525,0.0,0.08333333333333333,ALL,40.0
4,3d,0.4444444444444444,0.015,0.08333333333333333,ALL,9.0
4,3d,0.55,0.03,0.08333333333333333,ALL,260.0
4,3d,0.538135593220339,0.06,0.08333333333333333,ALL,236.0
4,3d,0.5532786885245902,0.12,0.08333333333333333,ALL,244.0
4,3d,0.6284722222222222,0.25,0.08333333333333333,ALL,288.0
4,3d,0.7078651685393258,0.5,0.08333333333333333,ALL,356.0
4,3d,0.7758620689655172,1.0,0.08333333333333333,ALL,232.0
5,3d,0.5588235294117647,0.0,0.1,ALL,68.0
5,3d,0.4666666666666667,0.015,0.1,ALL,15.0
5,3d,0.4979253112033195,0.03,0.1,ALL,482.0
5,3d,0.4930875576036866,0.06,0.1,ALL,434.0
5,3d,0.5856481481481481,0.12,0.1,ALL,432.0
5,3d,0.6415094339622641,0.25,0.1,ALL,424.0
5,3d,0.7760416666666666,0.5,0.1,ALL,384.0
5,3d,0.8643617021276596,1.0,0.1,ALL,376.0
6,3d,0.6153846153846154,0.0,0.13333333333333333,ALL,52.0
6,3d,0.4166666666666667,0.015,0.13333333333333333,ALL,12.0
6,3d,0.5436241610738255,0.03,0.13333333333333333,ALL,298.0
6,3d,0.6370967741935484,0.06,0.13333333333333333,ALL,372.0
6,3d,0.6044568245125348,0.12,0.13333333333333333,ALL,359.0
6,3d,0.7222222222222222,0.25,0.13333333333333333,ALL,342.0
6,3d,0.8343373493975904,0.5,0.13333333333333333,ALL,332.0
6,3d,0.896551724137931,1.0,0.13333333333333333,ALL,232.0
7,3d,0.48333333333333334,0.0,0.16666666666666666,ALL,60.0
7,3d,0.3333333333333333,0.015,0.16666666666666666,ALL,12.0
7,3d,0.5294117647058824,0.03,0.16666666666666666,ALL,374.0
7,3d,0.6114130434782609,0.06,0.16666666666666666,ALL,368.0
7,3d,0.6527415143603134,0.12,0.16666666666666666,ALL,383.0
7,3d,0.7475728155339806,0.25,0.16666666666666666,ALL,412.0
7,3d,0.8715203426124197,0.5,0.16666666666666666,ALL,467.0
7,3d,0.9294478527607362,1.0,0.16666666666666666,ALL,326.0
8,3d,0.4230769230769231,0.0,0.21666666666666667,ALL,52.0
8,3d,0.3333333333333333,0.015,0.21666666666666667,ALL,12.0
8,3d,0.5027322404371585,0.03,0.21666666666666667,ALL,366.0
8,3d,0.6141304347826086,0.06,0.21666666666666667,ALL,368.0
8,3d,0.6917808219178082,0.12,0.21666666666666667,ALL,292.0
8,3d,0.7789473684210526,0.25,0.21666666666666667,ALL,285.0
8,3d,0.8631178707224335,0.5,0.21666666666666667,ALL,263.0
8,3d,0.9716312056737588,1.0,0.21666666666666667,ALL,282.0
9,3d,0.5161290322580645,0.0,0.26666666666666666,ALL,62.0
9,3d,0.631578947368421,0.015,0.26666666666666666,ALL,19.0
