lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.043597539851687385,1.4158766366587887,0.19473014634510194,1.4531933519783011,3d,0.03333333333333333,1,ALL,0
0.044490461986525724,2.1347523173659266,0.8059266366847279,2.2926885283467886,3d,0.05,2,ALL,0
0.2674677799946976,0.34575871164792443,0.13864350502105607,nan,3d,0.06666666666666667,3,ALL,0
0.13557001695758025,0.33551919917626916,0.12346298851173118,0.43200525107017435,3d,0.1,4,ALL,0
0.08842039659221003,0.23563403757548945,0.15021416179673402,0.3011969607165573,3d,0.13333333333333333,5,ALL,0
0.039466173795266596,0.23655447111880465,0.1282593714004256,0.2585913015434177,3d,0.2,6,ALL,0
0.06342727944302468,0.139369012911287,0.07540868388171598,0.16143659751043218,3d,0.26666666666666666,7,ALL,0
0.03228216457381689,0.1720639644746788,0.08604587136725439,0.18396075496334605,3d,0.38333333333333336,8,ALL,0
0.02061150163298649,0.16746183441843293,0.10175183716131009,0.1762169544682636,3d,0.5333333333333333,9,ALL,0
0.029972628001011997,0.14302073534397852,0.07423550667198031,0.15250127477570813,3d,0.7666666666666667,10,ALL,0
0.006444795479265745,0.14102282280975822,0.13840223946415095,0.14463751401639924,3d,1.0666666666666667,11,ALL,0
0.04374993153442422,0.15544648641769632,0.053320925308899064,0.16570391603697499,3d,1.5,12,ALL,0
0.025392836817424394,0.14218187445046043,0.08819103151464669,0.15162783795474455,3d,2.1333333333333333,13,ALL,0
0.04938514480650278,0.12299718867138691,0.07070127030404001,0.13855669941506965,3d,3.0166666666666666,14,ALL,0
0.028823704780525875,0.14709912536443154,0.08388171595168681,0.1573747042194495,3d,4.233333333333333,15,ALL,0
