di,dotmode,y,x,dur,subj,ntrials
1,3d,0.2857142857142857,0.0,0.03333333333333333,ALL,14.0
1,3d,0.25,0.015,0.03333333333333333,ALL,12.0
1,3d,0.5335365853658537,0.03,0.03333333333333333,ALL,328.0
1,3d,0.4603658536585366,0.06,0.03333333333333333,ALL,328.0
1,3d,0.49390243902439024,0.12,0.03333333333333333,ALL,328.0
1,3d,0.4969512195121951,0.25,0.03333333333333333,ALL,328.0
1,3d,0.515625,0.5,0.03333333333333333,ALL,256.0
1,3d,0.5474137931034483,1.0,0.03333333333333333,ALL,232.0
2,3d,0.375,0.0,0.05,ALL,16.0
2,3d,0.3888888888888889,0.015,0.05,ALL,18.0
2,3d,0.5209424083769634,0.03,0.05,ALL,382.0
2,3d,0.5523560209424084,0.06,0.05,ALL,382.0
2,3d,0.5585106382978723,0.12,0.05,ALL,376.0
2,3d,0.49096385542168675,0.25,0.05,ALL,332.0
2,3d,0.5841584158415841,0.5,0.05,ALL,404.0
2,3d,0.5824468085106383,1.0,0.05,ALL,376.0
3,3d,0.46153846153846156,0.0,0.06666666666666667,ALL,26.0
3,3d,0.75,0.015,0.06666666666666667,ALL,12.0
3,3d,0.4970588235294118,0.03,0.06666666666666667,ALL,340.0
3,3d,0.5177514792899408,0.06,0.06666666666666667,ALL,338.0
3,3d,0.5297619047619048,0.12,0.06666666666666667,ALL,336.0
3,3d,0.5301204819277109,0.25,0.06666666666666667,ALL,332.0
3,3d,0.6328125,0.5,0.06666666666666667,ALL,256.0
3,3d,0.6724137931034483,1.0,0.06666666666666667,ALL,232.0
4,3d,0.5263157894736842,0.0,0.08333333333333333,ALL,76.0
4,3d,0.4444444444444444,0.015,0.08333333333333333,ALL,18.0
4,3d,0.5115830115830116,0.03,0.08333333333333333,ALL,518.0
4,3d,0.5087040618955513,0.06,0.08333333333333333,ALL,517.0
4,3d,0.5589430894308943,0.12,0.08333333333333333,ALL,492.0
4,3d,0.63125,0.25,0.08333333333333333,ALL,480.0
4,3d,0.7209302325581395,0.5,0.08333333333333333,ALL,516.0
4,3d,0.8095238095238095,1.0,0.08333333333333333,ALL,420.0
5,3d,0.6,0.0,0.11666666666666667,ALL,60.0
5,3d,0.4166666666666667,0.015,0.11666666666666667,ALL,12.0
5,3d,0.5294117647058824,0.03,0.11666666666666667,ALL,374.0
5,3d,0.5978552278820375,0.06,0.11666666666666667,ALL,373.0
5,3d,0.6212871287128713,0.12,0.11666666666666667,ALL,404.0
5,3d,0.6770334928229665,0.25,0.11666666666666667,ALL,418.0
5,3d,0.8074866310160428,0.5,0.11666666666666667,ALL,374.0
5,3d,0.8881578947368421,1.0,0.11666666666666667,ALL,304.0
6,3d,0.5147058823529411,0.0,0.15,ALL,68.0
6,3d,0.3888888888888889,0.015,0.15,ALL,18.0
6,3d,0.5586854460093896,0.03,0.15,ALL,426.0
6,3d,0.6119791666666666,0.06,0.15,ALL,384.0
6,3d,0.6223958333333334,0.12,0.15,ALL,384.0
6,3d,0.7393364928909952,0.25,0.15,ALL,422.0
6,3d,0.8458498023715415,0.5,0.15,ALL,506.0
6,3d,0.9140625,1.0,0.15,ALL,384.0
7,3d,0.45588235294117646,0.0,0.2,ALL,68.0
7,3d,0.3333333333333333,0.015,0.2,ALL,12.0
7,3d,0.48917748917748916,0.03,0.2,ALL,462.0
7,3d,0.6111111111111112,0.06,0.2,ALL,504.0
7,3d,0.6790697674418604,0.12,0.2,ALL,430.0
7,3d,0.7703016241299304,0.25,0.2,ALL,431.0
7,3d,0.8842364532019704,0.5,0.2,ALL,406.0
7,3d,0.9676470588235294,1.0,0.2,ALL,340.0
8,3d,0.5161290322580645,0.0,0.26666666666666666,ALL,62.0
8,3d,0.631578947368421,0.015,0.26666666666666666,ALL,19.0
8,3d,0.5728155339805825,0.03,0.26666666666666666,ALL,412.0
8,3d,0.6484375,0.06,0.26666666666666666,ALL,384.0
8,3d,0.6858407079646017,0.12,0.26666666666666666,ALL,452.0
8,3d,0.8423772609819121,0.25,0.26666666666666666,ALL,387.0
8,3d,0.9121951219512195,0.5,0.26666666666666666,ALL,410.0
8,3d,0.9540229885057471,1.0,0.26666666666666666,ALL,348.0
9,3d,0.5344827586206896,0.0,0.35,ALL,58.0
9,3d,0.4666666666666667,0.015,0.35,ALL,15.0
9,3d,0.5362318840579711,0.03,0.35,ALL,414.0
9,3d,0.6013824884792627,0.06,0.35,ALL,434.0
