lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.044172497742715845,1.6206175488985162,0.3953112944755812,1.6974749462184358,2d,0.03333333333333333,1,ALL,0
0.1720108058570931,0.40571601542816244,0.13190143568238272,0.5593667629140747,2d,0.05,2,ALL,0
0.035485033025461916,0.2579175955461669,0.11289096614819674,0.2751991033488881,2d,0.06666666666666667,4,ALL,0
0.029521525386937177,0.1695061727390786,0.09714072366630006,0.1817129585030672,2d,0.08333333333333333,5,ALL,0
0.011473723242547083,0.14043885628408118,0.07091013398270188,0.14377031638416488,2d,0.11666666666666667,6,ALL,0
0.021235551418562724,0.13999080097467348,0.07627755334292075,0.1467618108346782,2d,0.13333333333333333,7,ALL,0
0.013431862215407,0.09443153365552645,0.0574580878518143,0.0976046360101267,2d,0.16666666666666666,8,ALL,0
0.012926079356319663,0.08769132653061226,0.03797376093294461,0.08970731263528699,2d,0.21666666666666667,9,ALL,0
0.01196609017724498,0.08885948456728565,0.05209874077297061,0.09141481193944366,2d,0.26666666666666666,10,ALL,0
0.0015360492125685219,0.08502632779451273,0.053494726545639984,0.08535602382391276,2d,0.3333333333333333,11,ALL,0
0.005569286090775616,0.0843651161066832,0.043449715486226795,0.08534399595481915,2d,0.4,12,ALL,0
0.007933595405044333,0.06940039431069517,0.045667407646689015,0.07087311478526659,2d,0.5,13,ALL,0
0.0041216410702367865,0.06853122606486825,0.04546698345716152,0.06928706829391629,2d,0.6333333333333333,14,ALL,0
0.012177656447959758,0.05346245306755163,0.03997467891274665,0.055458667752608166,2d,0.8,15,ALL,0
0.010593103029131905,0.05343611479609335,0.03432541422208586,0.054922278768544684,2d,1.0,16,ALL,0
0.008126368303305346,0.06410261277129897,0.0376158540983358,0.0653456478977786,2d,1.2333333333333334,17,ALL,0
0.03306759688557405,0.04544530052742789,0.011506077753683588,0.04707772668066023,2d,1.55,18,ALL,0
0.007298100290639462,0.04665304947352565,0.024973176246143626,0.047392929210838555,2d,1.9666666666666666,19,ALL,0
0.003677194719656742,0.07373888990119859,0.03327640778533637,0.0742319805618699,2d,2.433333333333333,20,ALL,0
0.00891323997673991,0.03994516023175143,0.011794782893316034,0.04037335860855727,2d,3.05,21,ALL,0
0.0028011527307631907,0.047145550795539296,0.031221894581507925,0.04749735459024415,2d,3.816666666666667,22,ALL,0
0.0019180564231582235,0.03356068833683532,0.03042199816366773,0.03379499274466977,2d,4.783333333333333,23,ALL,0
