,b0,b1,b2,bi,dotmode,m0,m1,m2,x0,x1,subj
101,6.473832818093575,-1.1129526179295868,3.3220182059756738,0,3d,-1.5158874424006004,-0.11790496549170905,-0.6810039494197674,5.426952737279347,7.876005729879156,ALL
102,10.855265806283663,0.5890294241509593,-1.9429803283492886,1,3d,-2.5824391610696713,-0.3811045923662729,0.00010000000000000524,4.663641840141258,6.642128150599303,ALL
103,11.028052819291961,0.3527872634641661,-1.9127676926709454,2,3d,-2.5406233425530784,-0.3388162710118719,0.00010000000000000373,4.84841092254535,6.684703792499244,ALL
104,5.818325401429462,-0.8191901851720867,-2.032806279699904,3,3d,-1.3819044612436033,-0.16742871088620168,0.00010000000000001573,5.4653339889608485,7.244227500524476,ALL
105,14.02954142338077,0.682407731665982,-2.084527883508786,4,3d,-3.259319661765872,-0.39251140338971957,0.00010000000000000704,4.655746910887867,7.047517192031723,ALL
106,9.590132516959748,0.5405986422264357,-2.0640267185843153,5,3d,-2.271925069609423,-0.36562085224774526,9.999999999999719e-05,4.747161440220289,7.12189434589729,ALL
107,8.388929033486223,0.639166461660558,-1.9532091762111592,6,3d,-1.9854783591117224,-0.3807822764608794,9.999999999998687e-05,4.829427036184418,6.806237394693016,ALL
108,6.3622556195172235,-1.8022781560322216,-0.9689502055587025,7,3d,-1.4889596827710987,9.999999999999996e-05,-0.13804462338957124,5.483013117727398,6.0322865271663435,ALL
109,5.889208993795219,-1.308713216070465,-1.9373776667313005,8,3d,-1.390182252547607,-0.08668143431169573,0.00010000000000010944,5.521992923739294,7.2442274738620105,ALL
110,5.9673438656240485,-1.5577660534403632,-0.07519626451749338,9,3d,-1.4175186677261657,-0.05914255619423156,-0.23609983283191513,5.539783756042937,8.378122583512521,ALL
111,6.9287754815192075,-1.3184337017220034,-2.001094563708392,10,3d,-1.6019208328793872,-0.08437550887539653,9.999999999999946e-05,5.43457190404393,8.081169010025743,ALL
112,9.326660414361488,0.4478102204912557,-2.0224356441823943,11,3d,-2.1894949225117992,-0.3504129252203265,9.999999999995741e-05,4.827870756179895,7.047517186761908,ALL
113,6.96231318552003,-1.4769307380080525,0.04828615410596782,12,3d,-1.6047385921671644,-0.054644144876298234,-0.2351816362182006,5.44434175434458,8.448200319929287,ALL
114,13.458903703512531,-0.262783534740054,-0.4446323057955765,13,3d,-3.102534670892606,-0.2447771377538484,-0.20690490488408145,4.801557541710766,4.801638731931526,ALL
115,7.877552763475461,0.02095904248200964,-2.067794034030317,14,3d,-1.8498820317603648,-0.28823344622814173,0.00010000000000000376,5.030961379412676,7.24422748674228,ALL
116,12.170289244990066,0.5703535922023419,-2.05606279270104,15,3d,-2.801357975013625,-0.3725719795285697,0.000100000000000162,4.776022125649128,7.04752846265173,ALL
117,5.701235190970171,-0.4305786524191473,-2.0009125091937277,16,3d,-1.3527450060879591,-0.22272086191306278,9.99999999999982e-05,5.426267972682096,7.047517199646555,ALL
118,6.188552042092783,-0.5696595421675256,-1.9753723619752954,17,3d,-1.450872291132464,-0.1993621347378544,0.00010000000000000362,5.400045338761671,7.047517172394264,ALL
119,10.408138423302299,-0.18750980965868447,-2.1817098883180712,18,3d,-2.4166739905472583,-0.25055485504185854,0.00010000000000080015,4.891535304253301,7.955960275401339,ALL
120,7.004567491208146,-1.7574739196179834,-1.206787698942745,19,3d,-1.6210318125077885,9.99999999999998e-05,-0.10159262142139272,5.404891359668931,5.415202148645604,ALL
121,5.5030694729648175,-1.6074148731665197,0.15581214851356734,20,3d,-1.3051340856449711,-0.03867861352012652,-0.24751454311432355,5.6144762143945846,8.443121195097683,ALL
122,11.036209623197205,0.977570087230455,-2.184054697160107,21,3d,-2.5457814511871746,-0.4485154086284008,0.00010000000000002336,4.796072252950577,7.0475171462744,ALL
123,15.181052938685802,0.676980368558592,-2.0678815673031137,22,3d,-3.52220096261454,-0.3893792819645112,9.999999999999227e-05,4.6297153041372585,7.047517192728945,ALL
124,12.617155097863558,0.8545403168107563,-2.1024348522547034,23,3d,-2.986821387316153,-0.41947699725160537,9.999999999999941e-05,4.5816271269122595,7.0475149902551975,ALL
125,6.189498827084735,-1.7268260725709346,-1.9124532600318063,24,3d,-1.4632436162067473,-0.02230361883969188,0.00010000000000206378,5.493861584227189,8.285560820156906,ALL
126,8.358366221660171,-0.05310242246471147,-2.049159586139487,25,3d,-1.9861111501271635,-0.2756112032345352,0.00010000000000000026,4.917549739153589,7.239666414750946,ALL
127,10.675138301888088,1.0309634921136117,-2.1126351494906035,26,3d,-2.540163960771153,-0.4459579834575644,9.999999999993558e-05,4.605170128559385,7.0475112892111555,ALL
128,5.802538452086146,-1.6518278289009491,-0.45631257233826517,27,3d,-1.3653762614479321,-0.03112858914851944,-0.17263982364851765,5.586942734844194,8.448200319929287,ALL
129,6.2218615749257875,-1.7876243065073978,0.6861390557050152,28,3d,-1.4654736384822005,-0.01908272546902073,-0.31763480171512043,5.537566511756319,8.285868895196193,ALL
130,5.833668386806853,-0.7523502529149287,-2.046827023031883,29,3d,-1.3903485242461862,-0.17859391231446448,9.999999999999874e-05,5.4351091555965345,7.244095825389303,ALL
131,7.360283457219333,0.37262786540620085,-1.9786010715509377,30,3d,-1.7497278392768316,-0.3464938900638109,9.999999999997636e-05,4.979679537989442,6.7838150278709515,ALL
132,6.030694868169148,-0.736742329640461,-2.0018856979593624,31,3d,-1.4158007221458546,-0.16495019462964264,9.999999999998926e-05,5.410268524007409,7.66520254360778,ALL
133,5.9947098156188545,-0.6217619286133533,-1.9400861359049093,32,3d,-1.4006032746950066,-0.18696222286953484,0.0001000000000000015,5.451753347305753,7.047517061801788,ALL
134,6.6253155136452255,-1.3891430143366195,-1.866865362071573,33,3d,-1.540305764930006,-0.06055742741642158,0.00010000000000000795,5.416095706195764,7.875744094134929,ALL
135,6.706807116338586,-1.4463967556422028,8.935235244383549,34,3d,-1.555681354221101,-0.0569990727547908,-1.3090583671927882,5.44024841459516,8.29164562011753,ALL
136,14.89402706676808,0.9115111393627509,-2.008166124284389,35,3d,-3.4432561923453004,-0.41937276895809983,0.00010000000000000717,4.624026055897576,6.960348043807371,ALL
137,5.864635078246161,-1.9132466096947696,-0.19404353865743437,36,3d,-1.3843595261654615,9.999999999999765e-05,-0.2033993260022677,5.617991329919794,8.448200319929287,ALL
