pc,dotmode,coh,dur,di,subj,ntrials,se
0.8263551532033425,2d,0.25,0.083513597762281719,0,ALL,1436,0.01007956789969869
0.9065494505494507,2d,0.25,0.1222090833748956,1,ALL,1365,0.007910018009632277
0.9787736654804271,2d,0.25,0.82003984112464678,2,ALL,1405,0.003908492618467317
0.5577373107747106,2d,0.25,0.038999999999999993,3,ALL,1123,0.014996237441136148
0.9676605363984675,2d,0.25,0.38295025793159454,4,ALL,1305,0.004712588394069561
0.957523613963039,2d,0.25,0.17883387208205614,5,ALL,1461,0.0052834233852487155
0.9598422222222223,2d,0.25,0.26169539056072266,6,ALL,1350,0.005299834188560968
0.98516328125,2d,0.25,0.5603877841931133,7,ALL,1280,0.0033100364761297187
0.7299668976135488,2d,0.25,0.057070397867274296,8,ALL,1299,0.011818654345827719
0.7499374034003091,2d,0.12,0.083513597762281719,0,ALL,1294,0.011886470511662138
0.735686730506156,2d,0.12,0.1222090833748956,1,ALL,1462,0.01203453511172552
0.9289877949552481,2d,0.12,0.82003984112464678,2,ALL,1229,0.007194657767074396
0.47268621973929237,2d,0.12,0.038999999999999993,3,ALL,1074,0.01576252372467177
0.8421483113069016,2d,0.12,0.38295025793159454,4,ALL,1362,0.009830393959547564
0.8396178489702518,2d,0.12,0.17883387208205614,5,ALL,1311,0.010463922251155855
0.8457386685552408,2d,0.12,0.26169539056072266,6,ALL,1412,0.009280951228422948
0.8942630136986301,2d,0.12,0.5603877841931133,7,ALL,1460,0.007876917236193604
0.5897310606060605,2d,0.12,0.057070397867274296,8,ALL,1320,0.01369393815164076
0.938977734119188,2d,0.5,0.083513597762281719,0,ALL,1527,0.006272699702660982
0.9773452288595811,2d,0.5,0.1222090833748956,1,ALL,1289,0.0042454602785278435
0.9963657838224768,2d,0.5,0.82003984112464678,2,ALL,1397,0.0015764163210460168
0.6263158362989324,2d,0.5,0.038999999999999993,3,ALL,1124,0.014456860261878465
0.9963404726735599,2d,0.5,0.38295025793159454,4,ALL,1354,0.0016916271062866924
0.9745867346938776,2d,0.5,0.17883387208205614,5,ALL,1372,0.00438370237977149
0.9971943291839557,2d,0.5,0.26169539056072266,6,ALL,1446,0.0013283482836598597
0.9969878326996198,2d,0.5,0.5603877841931133,7,ALL,1315,0.0015246149798997528
0.8201036846615252,2d,0.5,0.057070397867274296,8,ALL,1167,0.01115926278127861
0.5177008426966293,2d,0.03,0.083513597762281719,0,ALL,1424,0.01346981644982703
0.6114409937888198,2d,0.03,0.1222090833748956,1,ALL,1449,0.012928727004496418
0.6989323241317899,2d,0.03,0.82003984112464678,2,ALL,1123,0.013258732566615212
0.48832312404287903,2d,0.03,0.038999999999999993,3,ALL,1306,0.014072775529550597
0.6097126518942102,2d,0.03,0.38295025793159454,4,ALL,1399,0.013309125596389273
0.5959123188405797,2d,0.03,0.17883387208205614,5,ALL,1380,0.013154872096703659
0.6160614692653673,2d,0.03,0.26169539056072266,6,ALL,1334,0.013754966801000778
0.6233480083857441,2d,0.03,0.5603877841931133,7,ALL,1431,0.012780876049347124
0.4772825688073395,2d,0.03,0.057070397867274296,8,ALL,1090,0.014983707396072415
0.6071267496111975,2d,0.06,0.083513597762281719,0,ALL,1286,0.013512522445651348
0.6573797709923664,2d,0.06,0.1222090833748956,1,ALL,1572,0.011994961794687285
0.825854578096948,2d,0.06,0.82003984112464678,2,ALL,1114,0.011041704875363226
0.4761636675235647,2d,0.06,0.038999999999999993,3,ALL,1167,0.01421784186378034
0.7261044558071585,2d,0.06,0.38295025793159454,4,ALL,1369,0.011871399740830173
0.7067887218045112,2d,0.06,0.17883387208205614,5,ALL,1330,0.012801357168007203
0.7094809873248833,2d,0.06,0.26169539056072266,6,ALL,1499,0.012002844817615179
0.7778974700399468,2d,0.06,0.5603877841931133,7,ALL,1502,0.010896917981806314
0.5504206842923796,2d,0.06,0.057070397867274296,8,ALL,1286,0.014173713671067558
