y,x,subj,dotmode
0.5078173584086063,33.333333333333336,KRM,2d
0.3670795259241262,50.0,KRM,2d
0.1871947886297377,66.66666666666667,KRM,2d
0.22991149521032905,83.33333333333333,KRM,2d
0.13803662536443154,100.0,KRM,2d
0.09221745713591559,116.66666666666667,KRM,2d
0.05815870991253645,150.0,KRM,2d
0.0805111151603499,200.0,KRM,2d
0.025311272843552612,300.0,KRM,2d
0.06021268171749729,416.6666666666667,KRM,2d
0.06913263801462144,583.3333333333334,KRM,2d
0.0332566888362488,833.3333333333334,KRM,2d
