A,B,bi,T,dotmode,coh,subj
0.870777953207316,0.5,0,130.33323145848104,3d,0.25,ALL
0.8738448468745491,0.5,1,109.17987504309792,3d,0.25,ALL
0.8756296072821727,0.5,2,111.2115398109399,3d,0.25,ALL
0.8756324900937169,0.5,3,117.34158628261244,3d,0.25,ALL
0.880385102345189,0.5,4,113.43592984876355,3d,0.25,ALL
0.8712674475753743,0.5,5,111.53852049803375,3d,0.25,ALL
0.9779263191269664,0.5,0,999.9999814358611,3d,0.12,ALL
0.7391948283139274,0.5,1,124.97833469586534,3d,0.12,ALL
0.7526943563945645,0.5,2,157.88076745112366,3d,0.12,ALL
0.7418687196248679,0.5,3,128.8801793857107,3d,0.12,ALL
0.7373500419311727,0.5,4,135.2279197701329,3d,0.12,ALL
0.7407107528133511,0.5,5,140.14694925021158,3d,0.12,ALL
0.9573180023623722,0.5,0,97.63508563665854,3d,0.5,ALL
0.961037097488413,0.5,1,86.49190305396856,3d,0.5,ALL
0.9593912828807094,0.5,2,81.7622778386061,3d,0.5,ALL
0.9621702577580427,0.5,3,84.91788202556775,3d,0.5,ALL
0.9605090821607942,0.5,4,88.56015506712636,3d,0.5,ALL
0.961855777223425,0.5,5,85.89619051537993,3d,0.5,ALL
0.6264696565697392,0.5,0,999.9999996036859,3d,0.03,ALL
0.5927750503795756,0.5,1,999.9999992827452,3d,0.03,ALL
0.6285578695262614,0.5,2,999.9999987723013,3d,0.03,ALL
0.5986144771039504,0.5,3,999.999998767745,3d,0.03,ALL
0.6108938870826188,0.5,4,999.9999998547752,3d,0.03,ALL
0.6180564089327201,0.5,5,999.9999990870452,3d,0.03,ALL
0.8136120835383889,0.5,0,1000.0000223370307,3d,0.06,ALL
0.7941261580635824,0.5,1,999.999964893496,3d,0.06,ALL
0.7964339842937589,0.5,2,999.9999632198728,3d,0.06,ALL
0.8361096433549258,0.5,3,1000.0000169475446,3d,0.06,ALL
0.8241516209948093,0.5,4,1000.0000220318353,3d,0.06,ALL
0.8060058750252943,0.5,5,999.9999662730661,3d,0.06,ALL
