pc,dotmode,coh,dur,di,subj,ntrials,se
0.645,3d,0.25,0.083513597762281719,0,ALL,1662,0.01182306672447797
0.7421193846153846,3d,0.25,0.1222090833748956,1,ALL,1625,0.011077588063849547
0.8835099118942731,3d,0.25,0.82003984112464678,2,ALL,1816,0.007224787625789211
0.4832674418604651,3d,0.25,0.038999999999999993,3,ALL,1204,0.01430398664540568
0.8450914671577655,3d,0.25,0.38295025793159454,4,ALL,1629,0.00904686900440243
0.8000878584502745,3d,0.25,0.17883387208205614,5,ALL,1639,0.009541401709374847
0.8461883878937616,3d,0.25,0.26169539056072266,6,ALL,1619,0.009028571784425503
0.8501796023091727,3d,0.25,0.5603877841931133,7,ALL,1559,0.009626775241445085
0.5286167751265365,3d,0.25,0.057070397867274296,8,ALL,1383,0.013341171519409112
0.6045714285714285,3d,0.12,0.083513597762281719,0,ALL,1491,0.01268958566209194
0.6343816079295155,3d,0.12,0.1222090833748956,1,ALL,1816,0.010973285759799497
0.7572448453608247,3d,0.12,0.82003984112464678,2,ALL,1552,0.01064263093186418
0.5051876523151909,3d,0.12,0.038999999999999993,3,ALL,1231,0.014454896296908836
0.7188030207677785,3d,0.12,0.38295025793159454,4,ALL,1589,0.01131909690006064
0.6563631931748933,3d,0.12,0.17883387208205614,5,ALL,1641,0.01204860396947555
0.7067040046430645,3d,0.12,0.26169539056072266,6,ALL,1723,0.01155775351665499
0.6844398717263496,3d,0.12,0.5603877841931133,7,ALL,1871,0.010666044341526923
0.536822381262199,3d,0.12,0.057070397867274296,8,ALL,1537,0.012498605822883976
0.7613186170212767,3d,0.5,0.083513597762281719,0,ALL,1880,0.010034049800050085
0.8268653594771245,3d,0.5,0.1222090833748956,1,ALL,1530,0.009653250075076815
0.9538029197080291,3d,0.5,0.82003984112464678,2,ALL,1918,0.00457713380478369
0.5368119658119658,3d,0.5,0.038999999999999993,3,ALL,1170,0.014720214833924791
0.9575078299776286,3d,0.5,0.38295025793159454,4,ALL,1788,0.004640517124745428
0.8689757174392936,3d,0.5,0.17883387208205614,5,ALL,1812,0.008057018726353752
0.9271105137395459,3d,0.5,0.26169539056072266,6,ALL,1674,0.006673619436085661
0.9623728813559322,3d,0.5,0.5603877841931133,7,ALL,1593,0.00467466066684305
0.6555109845402767,3d,0.5,0.057070397867274296,8,ALL,1229,0.013533200197484885
0.5153694524495677,3d,0.03,0.083513597762281719,0,ALL,1735,0.012028004290960367
0.5460629159104657,3d,0.03,0.1222090833748956,1,ALL,1653,0.012264432060504142
0.5695879299156391,3d,0.03,0.82003984112464678,2,ALL,1541,0.012703575683776542
0.5425324324324324,3d,0.03,0.038999999999999993,3,ALL,1480,0.012941511508308502
0.5123267740011926,3d,0.03,0.38295025793159454,4,ALL,1677,0.011964681213579607
0.5201655041217501,3d,0.03,0.17883387208205614,5,ALL,1577,0.012898102689165287
0.5848996305418719,3d,0.03,0.26169539056072266,6,ALL,1624,0.012353579017703393
0.5605031196823597,3d,0.03,0.5603877841931133,7,ALL,1763,0.012000782988315337
0.5157365632096896,3d,0.03,0.057070397867274296,8,ALL,1321,0.013092379426719496
0.5148454485920105,3d,0.06,0.083513597762281719,0,ALL,1527,0.012857790741882162
0.5879262749445677,3d,0.06,0.1222090833748956,1,ALL,1804,0.011391887725156256
0.6232245590230664,3d,0.06,0.82003984112464678,2,ALL,1474,0.013216669933778076
0.48439095955590805,3d,0.06,0.038999999999999993,3,ALL,1261,0.013936261980352669
0.6252716763005781,3d,0.06,0.38295025793159454,4,ALL,1557,0.012459461951850773
0.6128810916179336,3d,0.06,0.17883387208205614,5,ALL,1539,0.012669432414757603
0.6213877314814815,3d,0.06,0.26169539056072266,6,ALL,1728,0.011515729875404517
0.6793862733976177,3d,0.06,0.5603877841931133,7,ALL,1763,0.011105379203850647
0.5085391585760518,3d,0.06,0.057070397867274296,8,ALL,1545,0.012800322129094498
